content_hash,blind_id,public_relevance,harm_urgency,vulnerability,sensitivity_score,sensitivity_level,sensitivity_rationale,annotation_confidence,needs_review,annotation_round,annotated_at
ad80b318e713a9810ff1b10aa50781634729a41971bd4bdfd9d27293434944c7,SF-0031,2,0,0,2,medium,,medium,false,1,2026-08-27T09:26:22Z
8741e1626460b19d4d401897fb4abc19976dfcdfc0c2c4920994508f0ccee8e7,SF-0032,2,0,0,2,medium,,medium,false,1,2026-08-27T09:26:38Z
ba39b106206997025ec9b50e0a7d42b26dcf1ecc27ce0a3e01163f141c88bd09,SF-0033,2,0,0,2,medium,,high,false,1,2026-08-27T09:26:53Z
abf623a8aeb0db5ecbe4a5c14f74d1e739867bc215a91cfef9cf6ad67548b1e7,SF-0034,1,0,0,1,low,,medium,false,1,2026-08-27T09:27:04Z
446b2aeac9db27c02eb12b94074272142c5302607581fcf2a157d0e65f129415,SF-0035,1,0,0,1,low,,medium,false,1,2026-08-27T09:27:13Z
16c1b979972f6b2d2846de0545138c9051fdcce463834dc2d9e9c074efbdeb29,SF-0036,2,0,1,3,medium,,medium,false,1,2026-08-27T09:27:47Z
94ef359aa76ad62be15f27cf9810b89b83c25d87ab79f84a8082e280325a7b0b,SF-0037,1,0,0,1,low,,high,false,1,2026-08-27T09:28:01Z
786cc0dcb914c4996ec3fd00ef2531e0ed7cc25f5bba976d3e985a237741c18b,SF-0038,2,0,0,2,medium,,medium,false,1,2026-08-27T09:28:14Z
0a7e89a52c053f6051f6d8d3264528a762d2731f51a94345796cd42b49d54dc6,SF-0039,1,0,1,2,medium,,high,false,1,2026-08-27T09:36:20Z
82f9d60fa9ad4c62931e5610c27b340af40cb096866198b1d89ca3429bf3645c,SF-0040,1,0,0,1,low,,high,false,1,2026-08-27T09:36:29Z
7ffc45f3e4a6b2f288141d11373cfd3d278d5ccfb8a833a7c952289182085db4,SF-0041,0,0,1,1,low,,medium,false,1,2026-08-27T09:36:40Z
c392c0d60256fa70d6db2fbaa2800f0833cb5a63e686c78e4386b8106b57a2e6,SF-0042,0,0,0,0,low,,high,false,1,2026-08-27T09:36:51Z
a03da41bab0ddfc6649181191a85c0d392830bcc9fda840194acb6a45a10de19,SF-0043,0,0,0,0,low,,high,false,1,2026-08-27T09:36:58Z
679edc2def87f6cdcada973bb75f79a9e07a4d3e11067c183308ee9dbdc453bc,SF-0044,0,0,0,0,low,,medium,false,1,2026-08-27T09:37:15Z
e6a25a862038a436c22a4241568339693b482d2748071610b24dc7e192ad57df,SF-0045,2,0,0,2,medium,,high,false,1,2026-08-27T09:37:26Z
24a696fb1a873bec98ee896ee42c155138585ae05fca68727e207fe9f4ace5d7,SF-0046,2,0,0,2,medium,,high,false,1,2026-08-27T09:37:35Z
772b799e437a64bd783ceac68f40591fcbbc33c15a1cdf95bac75c600c463345,SF-0047,0,0,0,0,low,,medium,false,1,2026-08-27T09:37:49Z
b8a93add3b8274875818780f58d918a8ef1209e749b2742c1b44989c1582cd43,SF-0048,2,0,0,2,medium,,high,false,1,2026-08-27T09:38:00Z
a3945b578fd3c4fb7756daede652bfe6348817b72f7a20949253be43f9dddf76,SF-0049,0,0,1,1,low,,high,false,1,2026-08-27T09:38:16Z
e4955009519fbb6eab3ffdce7e3eb048c6adc075ad0649c2331ff55436e17205,SF-0050,2,0,0,2,medium,,medium,false,1,2026-08-27T09:38:28Z
b456c31ac936247b1cc4ac4ec9517352d4723a4ab32156d0078923ad07b7bfe6,SF-0051,2,0,0,2,medium,,medium,false,1,2026-08-27T09:38:35Z
8aeab606e04692b0703fe641715ffdc0415bf8d8baeb5297e88561a478f4ea9b,SF-0052,0,0,0,0,low,,high,false,1,2026-08-27T09:38:40Z
9b247cb47b22be9882e769fca1aaed7ec1a7baa987bc96d90e8e4405dbedee91,SF-0053,2,0,0,2,medium,,high,false,1,2026-08-27T09:38:48Z
70dee36e3cd7795914a79f14f343f28175e5b56fe46ccf74df290346a5ea1ce4,SF-0054,2,0,1,3,medium,,high,false,1,2026-08-27T09:44:35Z
afe22a3edcb7326e1ea4f41b72237c373cf05793ff7114b5a8fe995ab4794e38,SF-0055,0,0,0,0,low,,medium,false,1,2026-08-27T09:44:43Z
00d551ef32ea946c29602bb6de3293a4653624b19fa1e84f67408f10d8430132,SF-0056,1,0,0,1,low,,high,false,1,2026-08-27T09:44:56Z
2bb6546d37b4ec790a3c073d43ae9235f46893ade6816bd9519baaa1385a305d,SF-0057,2,1,1,4,high,,high,false,1,2026-08-27T09:45:08Z
1411c0137ba1fc4943def3d81790421ebbd488dc5fa5d10a90e3c20f6056d223,SF-0058,0,0,0,0,low,,medium,false,1,2026-08-27T09:45:15Z
b923386ecfb6ccb2be530ad36b25afbf13aa27366cac35e85381a066cb82df85,SF-0059,1,0,0,1,low,,medium,false,1,2026-08-27T09:45:22Z
e4392f836a1d2ed899582a62d38298346612bd49e65f6614de9ae7b1702422e0,SF-0060,2,0,0,2,medium,,high,false,1,2026-08-27T09:45:28Z
03bd8c2585b6244c18dae7d992578ac52bcf5c7c31d9cfde18a1d1002670ed96,SF-0061,0,0,0,0,low,,high,false,1,2026-08-27T09:45:37Z
bacaffab9df3b4c7154ff12c2717bee72bcfd94c71ff284757b71180bd1c4ac3,SF-0062,0,0,0,0,low,,high,false,1,2026-08-27T09:45:43Z
7cb9633b03b6e40e6b01c490dcbfa2c66985921c486a5d7b51596634c8f8444d,SF-0063,2,0,0,2,medium,,high,false,1,2026-08-27T09:50:12Z
d6200723f74c9eab13d7523cca105ac51f04dd0fcff7c77d17bf37c78d7fe78e,SF-0064,1,0,0,1,low,,medium,false,1,2026-08-27T09:50:22Z
e0b148ce71c9e955841e858d823be5fcb0b8944401d3d376440b9e74a345afb7,SF-0065,2,0,0,2,medium,,high,false,1,2026-08-27T09:50:30Z
8fc9aa977138f31b4948ce4389cac31a704e853012002e097ae0657ea4713a64,SF-0066,2,0,0,2,medium,,high,false,1,2026-08-27T09:50:35Z
f3398590e0a43fd65ad330d5d32b8a6ac81e3cb2fcc05263d8a662a55bf06c84,SF-0067,1,0,0,1,low,,medium,false,1,2026-08-27T09:50:48Z
2310020a213b01bf1670b613b67cdf54d9e078a63f232a388bb13df0d4522ee5,SF-0068,1,0,0,1,low,,medium,false,1,2026-08-27T09:53:21Z
7c89da9dd986b0507e0d3f1b0df006d441e2b7bf5870efc44e3f6f61febe5878,SF-0069,2,0,1,3,medium,,high,false,1,2026-08-27T09:53:33Z
3b00e6e96bd04214ae3cdb4a0d8870d4a16d09a0f423ebdde2bc23205b787560,SF-0070,2,0,0,2,medium,,high,false,1,2026-08-27T09:53:41Z
2029415654491971b94d758e2f960e967e049c95a9a42de6e8659b7ac6383fe3,SF-0071,0,0,0,0,low,,high,false,1,2026-08-27T09:53:47Z
9c12a9841fdea149cc9bf3d8b52101e56e13ebc472787fd2c26ab86f7667828d,SF-0072,1,0,0,1,low,,medium,false,1,2026-08-27T09:53:56Z
119e4fa9a3e0b436ac150ae11c3c00edb522a73b1b790fadb9869be8f5b9b16c,SF-0073,2,0,0,2,medium,,high,false,1,2026-08-27T09:54:04Z
48a67a84d155309de77ee56bc4d2fa7e49bd691ccaffbdc87487f8e04640baf4,SF-0074,0,0,0,0,low,,medium,false,1,2026-08-27T09:54:10Z
7deb6e0833bf859bddc17b8c5b053dae61cd8cf9fc80ceb5ff94bd35da734c32,SF-0075,2,0,0,2,medium,,high,false,1,2026-08-27T09:55:36Z
c8cca11e15c637ee7f85ba35e33ad31faf2ce28c0acf0b988b0dfd1ed5a1adbd,SF-0076,1,0,0,1,low,,medium,false,1,2026-08-27T09:56:34Z
2d3e0bcb39625517cf44b44331d16741371ffc034f129b397e5efdb585ec9017,SF-0077,2,0,0,2,medium,,high,false,1,2026-08-27T09:56:42Z
073f80938d867d05ff759088df4f97ec3821b4e1bc24e9f3703ff8838568f789,SF-0078,0,0,0,0,low,,high,false,1,2026-08-27T09:56:53Z
93f5a1e7d1c5bab6d94799af9a08847a1b4b003f5fee6c1f362aad5eeae4444b,SF-0079,2,0,0,2,medium,,high,false,1,2026-08-27T09:57:04Z
a9d929b2aeae89aaeaf6dc22e5dfcb8b3e5e5190df3a52bdd6d760f037d45bd9,SF-0080,1,0,0,1,low,,medium,false,1,2026-08-27T09:57:14Z
deb7f5b14813c386420b084765a9555307f0545696585e8702cc30ff11cee79b,SF-0081,2,0,0,2,medium,,high,false,1,2026-08-27T09:57:28Z
12565dc391bab4e2bb6b21b5969d5da2ff6e767546940c4101bc9b95b59ea9d2,SF-0082,2,1,1,4,high,,high,false,1,2026-08-27T09:57:42Z
18cfb8b96af1cdc6c0a14f5034f65a2a05d906f88adab74d0952ddef8871bce6,SF-0083,2,0,0,2,medium,,high,false,1,2026-08-27T09:57:49Z
ef449ea45b64aaa0ff30621522aae25e2818cd17c5d4ad63cb38b2931b44f918,SF-0084,0,0,1,1,low,"There is a baby, so there is a certain level of vulnerability",medium,false,1,2026-08-27T10:56:31Z
935f7a52c1607df49360709b65809456ec7cee797b775bfcf86a7b1b1f24760f,SF-0085,0,0,0,0,low,,high,false,1,2026-08-27T09:58:14Z
7308ea67065725303bd75c72fdf9b022dc3b9a63d60f6eac557f171983fcfdeb,SF-0086,2,0,0,2,medium,,high,false,1,2026-08-27T09:58:20Z
3dee7775e211413a6247f6b5ab30b52fcb279f67cf3df94caf9d8735139a5fb8,SF-0087,0,0,0,0,low,"It is an image with no recognizable logos, taken at low sensitivity",high,false,1,2026-08-27T10:55:26Z
6640cfd285f46c44334c6956c11d0fc9d84d0606c10e6f014d678eb386d34f16,SF-0088,0,0,0,0,low,,high,false,1,2026-08-27T09:58:33Z
c6274b8880f20440f28ea1eef3bbe002ef1b8dffbc4ca0b34bd16f15070cafe0,SF-0089,2,0,0,2,medium,,high,false,1,2026-08-27T09:58:44Z
114a152b5e9804ff8d6c4024ca73b0119f8a608125f46b2595f6040eeb7c17ec,SF-0090,0,0,0,0,low,,high,false,1,2026-08-27T09:58:50Z
13b7f2b97efa0967297328c662b99d1efcd7de62623b45e21a62a0cce802ff14,SF-0091,2,1,1,4,high,"It’s an ice hockey match. There isn’t any obvious accident, but it’s still a dangerous sport.",medium,false,1,2026-08-27T10:53:24Z
00294dcb68a832c07c7fede8179e6f9caa0e209ef1622436be2502c9dfdfaa2a,SF-0092,2,0,0,2,medium,,high,false,1,2026-08-27T09:59:18Z
51ef37cde07c65882cbc82e85ccbe844b27a601d844383d5a6754f04222191eb,SF-0093,0,0,0,0,low,"It's an illustration, low sensitivity level",high,false,1,2026-08-27T10:52:20Z
b793ec7a676668c634b0acfd048019f3318102be5e37831bb1667e891276e495,SF-0094,2,1,1,4,high,This is a scene from The Hunger Games movie. It is difficult to determine the level of labeling required.,low,false,1,2026-08-27T10:48:35Z
c7bd34d61c2eb0d241e1ae369baa5dc541cbb3e805074cff962db0dafc7333d1,SF-0095,1,0,1,2,medium,,high,false,1,2026-08-27T10:00:08Z
3c51f29adfe015506084f22633ef5f4c4a09b98d92a621f8da171ddd25a5cf36,SF-0096,2,2,1,5,high,,high,false,1,2026-08-27T10:00:18Z
d2523c4232d27d7978f688e3bea46884ced1e94b8c61c99141e455e0e60eb502,SF-0097,2,0,0,2,medium,,high,false,1,2026-08-27T10:00:34Z
188c83865facb67a88d24438eaba30e3ab8baf95c03612715d363ee87eb0bed0,SF-0098,1,0,0,1,low,,high,false,1,2026-08-27T10:00:45Z
bf3fc7c506de6b43ccc85a0067a8aab0422e6ae97ff1331a7d357138f1558243,SF-0099,0,0,0,0,low,,medium,false,1,2026-08-27T10:01:01Z
e4429b260df82514fd8a9d9a4fa787807e93f97e91c8fb287bdf09ee55ce7e6c,SF-0100,1,2,1,4,high,There’s a young boy with one eye ‘missing’. I think it’s an artefact caused by the use of AI. It’s therefore difficult to determine the level of harm urgency.,low,false,1,2026-08-27T10:41:12Z
45339c635ac1cf8edb6b7973b30b913c53864fbec42538a46cf13ab1f6d116ee,SF-0101,0,0,0,0,low,,medium,false,1,2026-08-27T10:37:58Z
